project_name,task_id,task_name,update_phase,predicted_end_date,forecast_confidence,model_type,low_confidence_flag,severity_score
Delta,tsk-001,Task 001,latest,2025-08-25,0.5332292085964025,Synthetic Demo,True,0
Delta,tsk-002,Task 002,latest,2025-02-16,0.671740548549228,Synthetic Demo,True,0
Delta,tsk-003,Task 003,latest,2025-04-02,0.7209276869129359,Synthetic Demo,False,0
Delta,tsk-004,Task 004,latest,2025-05-04,0.9058159688930331,Synthetic Demo,False,0
Delta,tsk-005,Task 005,latest,2025-09-01,0.6606669663101477,Synthetic Demo,True,0
Delta,tsk-006,Task 006,latest,2025-07-26,0.8979588788522502,Synthetic Demo,False,0
Delta,tsk-007,Task 007,latest,2025-07-20,0.6108873850238943,Synthetic Demo,True,5
Delta,tsk-008,Task 008,latest,2025-08-13,0.5674035848090153,Synthetic Demo,True,6
Delta,tsk-009,Task 009,latest,2025-09-03,0.7489258602973842,Synthetic Demo,False,0
Delta,tsk-010,Task 010,latest,2025-10-31,0.8731636102838536,Synthetic Demo,False,0
Delta,tsk-011,Task 011,latest,2025-08-14,0.8382739941128636,Synthetic Demo,False,4
Delta,tsk-012,Task 012,latest,2025-11-04,0.504064852350879,Synthetic Demo,True,0
Delta,tsk-013,Task 013,latest,2025-07-08,0.792545963943119,Synthetic Demo,False,0
Delta,tsk-014,Task 014,latest,2025-12-17,0.39452380814531995,Synthetic Demo,True,0
Delta,tsk-015,Task 015,latest,2025-07-25,0.7501198700859273,Synthetic Demo,False,0
